,Name,Address,City State ZIP,ZIP,Number of Sites,Url,latitude,longitude
0,Grass Lake Marina & RV Park,"26250 W Heart O Lakes Blvd,","Antioch, IL",60002.0,123,https://www.mhvillage.com/parks/126558,,
1,Lupas Resort and Marina,"25276 W Grass Lake Rd,","Antioch, IL",60002.0,32,https://www.mhvillage.com/parks/72915,,
2,Inland Harbor,"38816 Broadway Ave,","Antioch, IL",60002.0,Not found,https://www.mhvillage.com/parks/69993,,
3,Dolphin Harbor,"26222 West Oak Avenue,","Antioch, IL",60002.0,Not found,https://www.mhvillage.com/parks/10786,,
4,North Fox Recreational,"38788 North Broadway Avenue,","Antioch, IL",60002.0,Not found,https://www.mhvillage.com/parks/10789,,
5,Island on the Chain,"38600 N. Lakeside Pl,","Antioch, IL",60002.0,Not found,https://www.mhvillage.com/parks/72940,,
6,Willoway Terrace,"2300 East Oakton Street,","Arlington Heights, IL",60005.0,339,https://www.mhvillage.com/parks/11670,,
7,Oakbrook Estates,"911 Crookedstick Court,","Crystal Lake, IL",60014.0,400,https://www.mhvillage.com/parks/11041,,
8,Royal Oaks Mobile Home Park,"7920 Ridgefield Road,","Crystal Lake, IL",60014.0,54,https://www.mhvillage.com/parks/11042,,
9,Rand Road Community,"1330 Rand Road,","Des Plaines, IL",60016.0,140,https://www.mhvillage.com/parks/10373,42.0313084,-87.861055
10,Buckhorn Estates,"2993 Curtis Street,","Des Plaines, IL",60018.0,143,https://www.mhvillage.com/parks/10367,,
11,Blackhawk Estates,"400 West Touhy Avenue,","Des Plaines, IL",60018.0,496,https://www.mhvillage.com/parks/10374,,
12,Oasis Mobile Home Park,"7500 Elmhurst Road,","Des Plaines, IL",60018.0,600,https://www.mhvillage.com/parks/10372,,
13,Town & Country,"815 East Oakton Street,","Des Plaines, IL",60018.0,309,https://www.mhvillage.com/parks/10375,,
14,Chain O Lakes Mobile Homes,"24430 W Highway 120,","Grayslake, IL",60030.0,66,https://www.mhvillage.com/parks/47088,,
15,Saddlebrook Farms,"1 Saddlebrook Drive,","Grayslake, IL",60030.0,1775,https://www.mhvillage.com/parks/75235,,
16,Avon Mobile Home Park,"360 Ivanhoe Rd,","Grayslake, IL",60030.0,Not found,https://www.mhvillage.com/parks/57880,,
17,Hi-Way Mh Park,"1200 N Division St,","Harvard, IL",60033.0,Not found,https://www.mhvillage.com/parks/57867,,
18,Sunset View Mh Park,"347 S Division St,","Harvard, IL",60033.0,Not found,https://www.mhvillage.com/parks/57866,,
19,Ravinia Lake Bluff,"213 North Skokie Highway,","Lake Bluff, IL",60044.0,63,https://www.mhvillage.com/parks/10801,,
20,South Shore Village,"240 Whitney Road,","Lake Zurich, IL",60047.0,42,https://www.mhvillage.com/parks/10802,,
21,Harbor Lites,"1009 W. Bay Road, Office #24,","McHenry, IL",60051.0,50,https://www.mhvillage.com/parks/11047,,
22,Ports of Sullivan,"135 Stowaway,","Lakemoor, IL",60051.0,Not found,https://www.mhvillage.com/parks/129651,,
23,Paul's Mobile Home Park,"26312 North State Route 83,","Mundelein, IL",60060.0,18,https://www.mhvillage.com/parks/10806,,
24,Diamond Lake Mobile Home Park,"26265 N. Il Route 83,","Mundelein, IL",60060.0,63,https://www.mhvillage.com/parks/10805,,
